date,stage,scene,algorithm,ground_truth_source,detection_precision,detection_recall,detection_tp,detection_fp,detection_fn,geometry_section_err_mm,geometry_length_err_mm,angle_mae_deg,angle_pct_in_band,paint_correct_pct,device_eps_deg,runtime_s,notes,pass_fail
2026-09-24,0,stage0_2x4_lean0.000,open3d,synthetic,1,1,1,0,0,7.86,6.24,0.03084,100,100,,0.089,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage0_stage0_2x4_lean0.000.json.",pass
2026-09-24,0,stage0_2x4_lean0.000,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.000,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.000,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.000,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.050,open3d,synthetic,1,1,1,0,0,7.7,5.57,0.00345,100,100,,0.0795,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage0_stage0_2x4_lean0.050.json.",pass
2026-09-24,0,stage0_2x4_lean0.050,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.050,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.050,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.050,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.120,open3d,synthetic,1,1,1,0,0,7.39,4.85,0.01358,100,100,,0.0727,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage0_stage0_2x4_lean0.120.json.",pass
2026-09-24,0,stage0_2x4_lean0.120,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.120,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.120,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean0.120,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean4.000,open3d,synthetic,1,1,1,0,0,7.86,4.99,0.02471,100,100,,0.0747,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage0_stage0_2x4_lean4.000.json.",pass
2026-09-24,0,stage0_2x4_lean4.000,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean4.000,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean4.000,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,0,stage0_2x4_lean4.000,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x6_lean0.300,open3d,synthetic,1,1,1,0,0,7.57,6.02,0.00582,100,100,,0.0963,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage0_stage0_2x6_lean0.300.json.",pass
2026-09-24,0,stage0_2x6_lean0.300,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x6_lean0.300,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,0,stage0_2x6_lean0.300,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,0,stage0_2x6_lean0.300,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,2,stage2_2x4_lean0.200,open3d,synthetic,1,1,1,0,0,7.84,8.16,0.01721,100,100,,0.0864,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage2_stage2_2x4_lean0.200.json.",pass
2026-09-24,2,stage2_2x4_lean0.200,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,2,stage2_2x4_lean0.200,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,2,stage2_2x4_lean0.200,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,2,stage2_2x4_lean0.200,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-24,3,stage3_mini_wall_4,open3d,synthetic,1,1,4,0,0,7.76,22.19,0.00426,100,100,,0.3512,"Synthetic generator. device ε unlocked, so paint_correct_pct counts yellow production colors only. Scorecard: open3d_stage3_stage3_mini_wall_4.json.",pass
2026-09-24,3,stage3_mini_wall_4,pcl,synthetic,,,,,,,,,,,,,Stub. PCL was not executed. Metrics left null.,not_run
2026-09-24,3,stage3_mini_wall_4,cloudcompare,synthetic,,,,,,,,,,,,,Stub. CloudCompare / CloudComPy was not executed. Metrics left null.,not_run
2026-09-24,3,stage3_mini_wall_4,pointcept,synthetic,,,,,,,,,,,,,Stub. Pointcept was not trained or run. Metrics left null.,not_run
2026-09-24,3,stage3_mini_wall_4,open3d_ml,synthetic,,,,,,,,,,,,,Stub. Open3D-ML was not executed. Metrics left null.,not_run
2026-09-25,0,stage0_2x4_lean0.050,open3d,synthetic,1,1,1,0,0,7.7,5.57,0.00345,100,100,,0.0789,"Synthetic stage 0, 2x4 lean 0.05 deg, seed 2, reference +Z. Device epsilon unlocked. Refined Open3D DBSCAN and minimal OBB. Stage 0 reference is +Z. Stage 0 bars: pass. Scorecard: one_stud_open3d.json.",pass
2026-09-25,0,stage0_2x4_lean0.050,pcl,synthetic,1,1,1,0,0,7.7,5.57,0.00345,100,100,,0.1816,"Synthetic stage 0, 2x4 lean 0.05 deg, seed 2, reference +Z. Device epsilon unlocked. PCL 1.14 RegionGrowing returned 1 cluster and left 133 points unassigned. No face-union step ran. Minimal OBB, axis not forced to Z. Stage 0 bars: pass. Scorecard: one_stud_pcl.json.",pass
2026-09-25,0,stage0_2x4_lean0.050,cloudcompare,synthetic,0.125,1,1,7,0,30.46,2.07,0.08836,100,100,,0.7853,"Synthetic stage 0, 2x4 lean 0.05 deg, seed 2, reference +Z. Device epsilon unlocked. CloudCompare 2.11.3-7.1build3 RANSAC-SD, one OBB per plane or cylinder primitive, primitives not merged. Stage 0 bars: fail. Scorecard: one_stud_cloudcompare.json.",fail
2026-09-25,0,stage0_2x4_lean0.050,pointcept,synthetic,,,,,,,,,,,,,"Blocked install. Metrics left null. No NVIDIA GPU and no stud checkpoint. Cloud loaded, no forward pass. Scorecard: one_stud_pointcept.json.",blocked_install
2026-09-25,0,stage0_2x4_lean0.050,open3d_ml,synthetic,,,,,,,,,,,,,Blocked install. Metrics left null. Open3D-ML weights not loaded and no forward pass. Cloud loaded. Metrics null. Scorecard: one_stud_open3d_ml.json.,blocked_install
